Tags,value
mental health,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
multimedia,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
neoplasms,DIVISION 06 BIOLOGICAL SCIENCES
occupational therapy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
poetry,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
pregnancy,DIVISION 06 BIOLOGICAL SCIENCES
resilience,DIVISION 02 PHYSICAL SCIENCES
sex chromosomes,DIVISION 06 BIOLOGICAL SCIENCES
simulation,DIVISION 09 ENGINEERING
social change,DIVISION 21 HISTORY AND ARCHAEOLOGY
sustainability,DIVISION 14 ECONOMICS
trajectories,DIVISION 10 TECHNOLOGY
urbanization,DIVISION 16 STUDIES IN HUMAN SOCIETY
violence,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
soil,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
intercultural learning,DIVISION 16 STUDIES IN HUMAN SOCIETY
food supply,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
chromosome mapping,DIVISION 11 MEDICAL AND HEALTH SCIENCES
assemblages,DIVISION 02 PHYSICAL SCIENCES
marketing,DIVISION 14 ECONOMICS
neural networks,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
water,DIVISION 05 ENVIRONMENTAL SCIENCES
corruption,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
acclimatization,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
natural resources,DIVISION 06 BIOLOGICAL SCIENCES
video cameras,DIVISION 10 TECHNOLOGY
genome,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
carbon,DIVISION 05 ENVIRONMENTAL SCIENCES
copper,DIVISION 03 CHEMICAL SCIENCES
domestic violence,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
ecology,DIVISION 06 BIOLOGICAL SCIENCES
environmental change,DIVISION 06 BIOLOGICAL SCIENCES
ideology,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
intelligence,DIVISION 06 BIOLOGICAL SCIENCES
multimedia,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
pregnancy,DIVISION 16 STUDIES IN HUMAN SOCIETY
resilience,DIVISION 06 BIOLOGICAL SCIENCES
simulation,DIVISION 10 TECHNOLOGY
urbanization,DIVISION 21 HISTORY AND ARCHAEOLOGY
violence,DIVISION 18 LAW AND LEGAL STUDIES
